" " "MAE" "RMSE" "MASE" "MRAE" "GMRAE" "MAPE" "sMAPE" "uMbRAE"
"produto.soma_algebrica.mamdani.maximum_center" 924.125 1467.94135659054 NA 0.18144759046126 0.0560727810615281 18.144759046126 16.5111504653329 0.12333045028275
"produto.soma_limitada.mamdani.maximum_center" 924.125 1467.94135659054 NA 0.18144759046126 0.0560727810615281 18.144759046126 16.5111504653329 0.12333045028275
"minimo.soma_algebrica.mamdani.maximum_center" 926.111111111111 1467.83409976892 NA 0.181665236053589 0.0584372482744537 18.1665236053589 16.5240003539718 0.123605463109006
"minimo.soma_limitada.mamdani.maximum_center" 1007.75 1509.51152419141 NA 0.191442758496015 0.0678832185799807 19.1442758496015 17.5859771137864 0.134170917814846
"minimo.soma_limitada.larsen.area_center" 1035.23121759503 1903.46916529074 NA 0.157472245564139 0.0618932984637509 15.7472245564139 22.6826690094658 0.123290215876623
"minimo.soma_algebrica.larsen.area_center" 1039.36057914199 1903.82554500491 NA 0.157922262945582 0.0632549510144921 15.7922262945582 22.7244315104629 0.123840413521832
"minimo.maximo.larsen.area_center" 1048.41936437468 1907.42375143106 NA 0.15906509614347 0.0629111829096849 15.906509614347 22.8284262587915 0.125066070118314
"produto.soma_limitada.larsen.area_center" 1059.3340197322 1911.29140240219 NA 0.160556145755562 0.0618341532663535 16.0556145755562 23.0058680700111 0.126695772126378
"produto.soma_algebrica.larsen.area_center" 1059.39353961598 1910.55257642239 NA 0.160520146615894 0.0650619263298638 16.0520146615894 22.9964636454669 0.126697862585307
"minimo.soma_limitada.mamdani.area_center" 1062.70233911536 1911.25202862275 NA 0.161220599606332 0.0676113965440061 16.1220599606332 23.0747056205771 0.127150664546943
"produto.maximo.larsen.area_center" 1068.96413503771 1913.22088235801 NA 0.161652012164427 0.068531059947617 16.1652012164427 23.1016139933419 0.12798568157302
"minimo.soma_algebrica.mamdani.area_center" 1072.00941909761 1912.35147427267 NA 0.162256047584104 0.0716523855997063 16.2256047584104 23.1732984992229 0.128410009504481
"produto.uniao_drastica.mamdani.maximum_center" 1074.83333333333 1572.02085528292 NA 0.198940759739029 0 19.8940759739029 18.7650310692686 0.141179462790077
"minimo.uniao_drastica.mamdani.maximum_center" 1075.04166666667 1572.02261124889 NA 0.198963676176532 0 19.8963676176532 18.7673193767262 0.141209220627292
"minimo.maximo.mamdani.area_center" 1077.96309467839 1915.20045313041 NA 0.163087628844719 0.0686530195651581 16.3087628844719 23.2470145982183 0.129299475366796
"produto.soma_limitada.mamdani.area_center" 1081.80491624829 1917.27272626775 NA 0.163704868756324 0.0706716385861428 16.3704868756324 23.3366876424601 0.129927623413086
"minimo.uniao_drastica.larsen.maximum_center" 1084.40277777778 1573.13352588958 NA 0.199993527072471 0 19.9993527072471 18.8682740040359 0.142498905020081
"produto.uniao_drastica.larsen.maximum_center" 1084.40277777778 1573.13352588958 NA 0.199993527072471 0 19.9993527072471 18.8682740040359 0.142498905020081
"produto.soma_algebrica.mamdani.area_center" 1089.82284670302 1918.43044088108 NA 0.164603780215909 0.0711128467930916 16.4603780215909 23.4221471842535 0.131016603621422
