" " "MAE" "RMSE" "MASE" "MRAE" "GMRAE" "MAPE" "sMAPE" "uMbRAE"
"produto.soma_algebrica.mamdani.maximum_center" 507.458333333333 793.956228677347 NA 0.118826341664706 0.0385802103197472 11.8826341664706 8.95443372798886 0.0780852942923039
"produto.soma_limitada.mamdani.maximum_center" 507.458333333333 793.956228677347 NA 0.118826341664706 0.0385802103197472 11.8826341664706 8.95443372798886 0.0780852942923039
"minimo.soma_algebrica.mamdani.maximum_center" 511.569444444444 783.66564316536 NA 0.119723470338734 0.0410860977034008 11.9723470338734 9.01104011793265 0.0788290430404863
"minimo.soma_limitada.mamdani.maximum_center" 769.75 972.743828330746 NA 0.148698851786091 0.0732333359271313 14.8698851786091 12.1834362866212 0.109110823714157
"minimo.soma_limitada.larsen.maximum_center" 877.722222222222 1063.88732303337 NA 0.168924885850805 0.091522425133634 16.8924885850805 13.6191041839163 0.124017466342529
"produto.maximo.mamdani.maximum_center" 898.208333333333 1124.75503814534 NA 0.171669582284516 0.0803289381803362 17.1669582284516 14.1154423859576 0.125688189226113
"minimo.maximo.larsen.maximum_center" 955.305555555556 1138.63491612642 NA 0.178023929242294 0.101449083447599 17.8023929242294 14.6441677414185 0.133279746587732
"produto.maximo.larsen.maximum_center" 1005.80555555556 1176.13563324039 NA 0.18357887369285 0.108807082113865 18.3578873692849 15.2290725588087 0.139288357888916
"minimo.soma_algebrica.larsen.maximum_center" 1016.30555555556 1187.24261538145 NA 0.184753501727305 0.109732032979219 18.4753501727305 15.4041490750682 0.140463470829346
"produto.soma_algebrica.larsen.maximum_center" 1035.25 1207.02366956447 NA 0.186837369777514 0.111451618073518 18.6837369777514 15.6723785527139 0.142564359359842
"produto.soma_limitada.larsen.maximum_center" 1035.25 1207.02366956447 NA 0.186837369777514 0.111451618073518 18.6837369777514 15.6723785527139 0.142564359359842
"minimo.uniao_drastica.mamdani.maximum_center" 1092.86111111111 1290.4991443882 NA 0.176595003855512 0.110400073070816 17.6595003855512 15.9033791668002 0.140282617099335
"minimo.uniao_drastica.larsen.maximum_center" 1092.86111111111 1290.4991443882 NA 0.176595003855512 0.110400073070816 17.6595003855512 15.9033791668002 0.140282617099335
"produto.uniao_drastica.mamdani.maximum_center" 1092.86111111111 1290.4991443882 NA 0.176595003855512 0.110400073070816 17.6595003855512 15.9033791668002 0.140282617099335
"produto.uniao_drastica.larsen.maximum_center" 1092.86111111111 1290.4991443882 NA 0.176595003855512 0.110400073070816 17.6595003855512 15.9033791668002 0.140282617099335
"minimo.soma_limitada.larsen.area_center" 1134.00593162787 1728.736863418 NA 0.17902628228028 0.100213875907451 17.902628228028 26.3966147452919 0.142658992528155
"produto.soma_limitada.larsen.area_center" 1135.38526403187 1723.1065464009 NA 0.179907482693846 0.108163296578637 17.9907482693846 26.4234311310986 0.143544248432662
"produto.soma_algebrica.larsen.area_center" 1143.65995068347 1727.95419181549 NA 0.180943484955883 0.109073368393175 18.0943484955883 26.5329246174392 0.144568521691927
"minimo.soma_algebrica.larsen.area_center" 1154.9486116406 1742.30965238051 NA 0.181723358921451 0.0997012783658626 18.1723358921451 26.6864277509063 0.145223573613088
"minimo.maximo.larsen.area_center" 1159.41056042912 1751.38795176186 NA 0.183498880777419 0.102542910179221 18.3498880777419 26.8347334110706 0.145978607355852
"produto.maximo.larsen.area_center" 1169.74974302375 1745.11859301616 NA 0.18479153941694 0.111774530292437 18.479153941694 26.9178611963136 0.148020596588129
"produto.soma_limitada.mamdani.area_center" 1173.18903317791 1744.62325577212 NA 0.183731299644734 0.112782036895645 18.3731299644734 26.8792654580919 0.147880398403514
"produto.soma_algebrica.mamdani.area_center" 1203.38432680632 1762.79685023738 NA 0.187292489682642 0.116408456527984 18.7292489682642 27.272513945781 0.151562705001827
"minimo.maximo.mamdani.area_center" 1227.71362333429 1793.49056908398 NA 0.19041394385376 0.108833103447234 19.041394385376 27.6847808173063 0.153724745215624
"minimo.soma_algebrica.mamdani.area_center" 1234.7959202801 1791.31490887115 NA 0.189992357080592 0.114096991227286 18.9992357080592 27.6894614388622 0.154444731521954
"minimo.soma_limitada.mamdani.area_center" 1240.3095461191 1797.43052571981 NA 0.190228507870561 0.109463272952687 19.0228507870561 27.7422144718616 0.154815107179349
"produto.maximo.mamdani.area_center" 1270.70425698484 1807.10412939575 NA 0.195788464676878 0.123852381209877 19.5788464676878 28.1921074639572 0.159904711037327
"produto.uniao_drastica.larsen.area_center" 1338.8754535168 1882.82772710227 NA 0.195416473564723 0.126374860884154 19.5416473564723 28.7648494685245 0.161408461578834
"produto.uniao_drastica.mamdani.area_center" 1352.27266523544 1885.60035560687 NA 0.198224565133002 0.131147810523524 19.8224565133002 29.0362187180725 0.164642527530196
"minimo.uniao_drastica.larsen.area_center" 1352.4850271419 1885.4673672568 NA 0.198187610289938 0.131307653533798 19.8187610289938 29.0348609200001 0.164625662005081
"minimo.uniao_drastica.mamdani.area_center" 1363.85857042567 1888.84471240576 NA 0.200566624706812 0.134111459903392 20.0566624706812 29.2613669502501 0.167150092857245
"diferenca_limitada.soma_algebrica.mamdani.maximum_center" 2501.01388888889 2901.68027591103 NA 0.357158907921842 0.217032674399892 35.7158907921842 38.7521861898161 0.301567281994171
"diferenca_limitada.soma_limitada.mamdani.maximum_center" 2501.01388888889 2901.68027591103 NA 0.357158907921842 0.217032674399892 35.7158907921842 38.7521861898161 0.301567281994171
"diferenca_limitada.uniao_drastica.mamdani.maximum_center" 2511.95833333333 2902.50994471452 NA 0.35847229379061 0.235223607334215 35.847229379061 38.880121023195 0.303683827057558
"diferenca_limitada.maximo.mamdani.maximum_center" 2523.51388888889 2904.99714691962 NA 0.359859015926162 0.239788514188407 35.9859015926162 39.0367954761636 0.305727583609873
"diferenca_limitada.uniao_drastica.larsen.maximum_center" 2536.69444444444 2907.69391729368 NA 0.361179110719652 0.245715387851635 36.1179110719652 39.1263405050466 0.307743179610648
"diferenca_limitada.maximo.larsen.maximum_center" 2548.25 2910.1766889849 NA 0.362565832855204 0.250483905224939 36.2565832855204 39.2830149580153 0.309799693532738
"diferenca_limitada.soma_algebrica.larsen.maximum_center" 2548.25 2910.1766889849 NA 0.362565832855204 0.250483905224939 36.2565832855204 39.2830149580153 0.309799693532738
"diferenca_limitada.soma_limitada.larsen.maximum_center" 2548.25 2910.1766889849 NA 0.362565832855204 0.250483905224939 36.2565832855204 39.2830149580153 0.309799693532738
"minimo.maximo.lukasiewics.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.lukasiewics.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.kleene.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.kleene.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.reichenbach.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.reichenbach.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.zadeh.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.zadeh.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.gaines.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.gaines.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.godel.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.godel.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.goguen.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.goguen.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.kliryuan.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.maximo.kliryuan.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_algebrica.lukasiewics.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_algebrica.lukasiewics.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_algebrica.kleene.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_algebrica.kleene.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_algebrica.reichenbach.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_algebrica.reichenbach.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_algebrica.zadeh.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_algebrica.zadeh.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_algebrica.gaines.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_algebrica.gaines.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_algebrica.godel.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_algebrica.godel.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_algebrica.goguen.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_algebrica.goguen.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_algebrica.kliryuan.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_algebrica.kliryuan.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_limitada.lukasiewics.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_limitada.lukasiewics.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_limitada.kleene.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_limitada.kleene.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_limitada.reichenbach.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_limitada.reichenbach.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_limitada.zadeh.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_limitada.zadeh.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_limitada.gaines.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_limitada.gaines.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_limitada.godel.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_limitada.godel.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_limitada.goguen.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_limitada.goguen.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_limitada.kliryuan.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.soma_limitada.kliryuan.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.uniao_drastica.lukasiewics.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.uniao_drastica.lukasiewics.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.uniao_drastica.kleene.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.uniao_drastica.kleene.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.uniao_drastica.reichenbach.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.uniao_drastica.reichenbach.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.uniao_drastica.zadeh.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.uniao_drastica.zadeh.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.uniao_drastica.gaines.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.uniao_drastica.gaines.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.uniao_drastica.godel.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.uniao_drastica.godel.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.uniao_drastica.goguen.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.uniao_drastica.goguen.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.uniao_drastica.kliryuan.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"minimo.uniao_drastica.kliryuan.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"produto.maximo.lukasiewics.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"produto.maximo.lukasiewics.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"produto.maximo.kleene.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"produto.maximo.kleene.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"produto.maximo.reichenbach.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"produto.maximo.reichenbach.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"produto.maximo.zadeh.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"produto.maximo.zadeh.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"produto.maximo.gaines.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"produto.maximo.gaines.area_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
"produto.maximo.godel.maximum_center" 3270.02777777778 3368.45505717714 NA 0.450373497536362 0.410936948557548 45.0373497536362 50.7676949562263 0.41919907543727
